Date,Open,High,Low,Close,AdjClose,Volume,MMO,MMH,MML,MMC,MMV,PPR,PPC,PPO,Fut
18/07/2019,191.289993,192.789993,190.690002,192.419998,188.682495,28877000,192.620001,193.7059998,191.6519988,192.9799958,24285880,0.0109,0.8238,0.2857,-0.0073
19/07/2019,193.740005,193.830002,190.809998,191.009995,187.29985,29387900,193.2600034,194.052002,192.099997,193.1559968,23197420,0.0158,0.0662,0.9702,0.0080
22/07/2019,191.440002,192.940002,191.440002,192.529999,188.790344,18954900,193.4180022,194.3960022,192.823996,194.0119964,21406080,0.0078,0.7267,-,0.0065
23/07/2019,193.580002,193.809998,192.289993,193.789993,190.025848,23786700,194.152002,194.8440004,193.2139954,194.4299956,21705440,0.0078,0.9868,0.8487,0.0070
24/07/2019,193.050003,195.160004,193.029999,195.149994,191.359436,20422900,194.0620026,194.9899994,193.3539978,194.4279968,20689100,0.0109,0.9953,0.0094,-0.0095
25/07/2019,194.490005,194.520004,192.929993,193.300003,189.54538,23434700,194.3120026,194.8439972,192.6119994,193.6179992,24930020,0.0082,0.2327,0.9811,0.0103
26/07/2019,194.529999,195.550003,194.429993,195.289993,191.496704,20431200,193.7000002,194.9359956,191.872,192.9879974,32893400,0.0057,0.7679,0.0893,-0.0034
29/07/2019,195.110001,195.179993,193.389999,194.619995,190.839752,20451700,192.5380006,193.623996,190.2280028,191.4,39849960,0.0092,0.6872,0.9609,-0.0043
30/07/2019,193.130005,194.539993,192.990005,193.779999,190.016037,18705000,190.201999,191.2899964,187.3900024,188.6220002,50767620,0.0080,0.5097,0.0903,-0.0138
31/07/2019,194.300003,194.429993,189.320007,191.100006,187.388107,41627500,188.0559968,189.1419984,185.0060028,186.5179994,55406060,0.0267,0.3483,0.9746,-0.0050
01/08/2019,191.429993,194.979996,189.229996,190.149994,186.456573,63251600,185.449997,187.1579988,183.1200012,185.1479982,57078680,0.0302,0.1600,0.3826,-0.0147
02/08/2019,188.720001,188.990005,186.210007,187.350006,183.710953,55214000,184.1799988,185.826001,182.1880034,184.7699984,52111980,0.0148,0.4101,0.9029,-0.0353
05/08/2019,183.429993,183.509995,179.199997,180.729996,177.219543,75040000,183.9079988,185.628,181.9520018,184.5979982,47790960,0.0238,0.3550,0.9814,0.0140
06/08/2019,182.399994,183.800003,181.070007,183.259995,179.700409,41897200,184.2899994,186.1059998,182.8120024,185.3220002,37711540,0.0149,0.8022,0.4872,0.0054
07/08/2019,181.270004,184.509995,179.889999,184.25,180.671173,49990600,184.648001,187.2819978,183.4020018,186.348001,37380480,0.0251,0.9437,0.2987,0.0218
08/08/2019,185.080002,188.320007,184.570007,188.259995,184.603271,38418100,185.4660004,187.5699982,183.9080016,186.05,37582460,0.0199,0.9840,0.1360,-0.0094
09/08/2019,187.360001,188,185.029999,186.490005,182.867691,33608900,185.05,186.623996,183.226001,184.9080016,37235840,0.0159,0.4916,0.7845,-0.0115
12/08/2019,185.339996,185.899994,183.5,184.350006,180.769211,24642900,184.4200012,186.2139954,183.0400024,184.7059998,37070340,0.0130,0.3542,0.7667,0.0219
13/08/2019,184.190002,189.679993,184.020004,188.389999,184.730759,40241900,184.9840028,186.799997,183.8400024,185.5219972,36640580,0.0300,0.7721,0.0300,-0.0299
14/08/2019,185.360001,185.949997,182.419998,182.759995,179.210083,51000500,185.7380038,186.5919982,184.4200012,185.2379976,32572780,0.0193,0.0963,0.8329,-0.0011
15/08/2019,183,183.589996,181.160004,182.550003,179.004181,36685000,186.3880038,187.247998,185.528003,186.4119996,26456380,0.0133,0.5720,0.7572,0.0161
16/08/2019,184.210007,185.949997,184.100006,185.479996,181.877289,32781400,187.584003,188.4220002,186.6040008,187.5059998,23968120,0.0100,0.7459,0.0595,0.0159
19/08/2019,188.160004,188.830002,187.5,188.429993,184.769958,22494100,188.0900026,188.9220002,186.0959992,186.824002,28486320,0.0071,0.6992,0.4962,-0.0077
20/08/2019,187.960007,188.639999,186.919998,186.970001,183.338333,19902900,187.2860016,188.1299988,185.2119996,186.1020048,29507280,0.0092,0.0291,0.6047,0.0089
21/08/2019,188.610001,189.229996,187.960007,188.630005,184.966095,20418500,186.9160004,187.6859986,184.5700014,185.5940032,31129260,0.0067,0.5276,0.5118,-0.0032
22/08/2019,188.979996,189.460007,186.539993,188.020004,184.367935,24243700,185.9600006,186.9199982,183.5600008,184.8860014,31404040,0.0155,0.5069,0.8356,-0.0316
23/08/2019,186.740005,188.449997,181.559998,182.070007,178.533524,55372400,185.6420012,186.7199982,183.5880008,184.8660002,31627080,0.0378,0.0740,0.7518,0.0151
26/08/2019,184.139999,184.869995,183.080002,184.820007,181.230103,27598900,186.0799988,186.823999,184.558002,185.945999,25816560,0.0097,0.9721,0.5922,-0.0021
